local_hour,days_won,share
0,6,0.1935483870967742
1,2,0.06451612903225806
2,1,0.03225806451612903
6,1,0.03225806451612903
7,2,0.06451612903225806
8,2,0.06451612903225806
10,1,0.03225806451612903
14,1,0.03225806451612903
21,2,0.06451612903225806
22,6,0.1935483870967742
23,7,0.22580645161290322
