local_time,days_won,share
00:00,1,0.03225806451612903
00:15,3,0.0967741935483871
00:30,1,0.03225806451612903
00:45,1,0.03225806451612903
01:30,2,0.06451612903225806
02:00,1,0.03225806451612903
06:00,1,0.03225806451612903
07:00,1,0.03225806451612903
07:15,1,0.03225806451612903
08:00,1,0.03225806451612903
08:30,1,0.03225806451612903
10:30,1,0.03225806451612903
14:45,1,0.03225806451612903
21:00,1,0.03225806451612903
21:30,1,0.03225806451612903
22:00,2,0.06451612903225806
22:15,1,0.03225806451612903
22:30,1,0.03225806451612903
22:45,2,0.06451612903225806
23:15,2,0.06451612903225806
23:30,2,0.06451612903225806
23:45,3,0.0967741935483871
